id_sequencage,Poids Mille Grains,Biomasse aérienne_VS3,Biomasse racine_VS3,Biomasse totale_VS3,Surface Projetée_VS3,Pourcentage azote aérien_VS3,Pourcentage azote Racine_VS3,Azote totale_VS3,Azote aérien_VS3,Azote racine_VS3,INN_VS3,SLN_VS3,RTR,SNU,NLA,RUE
183,2.92142857142857,0.3187,0.164410865766481,0.483110865766481,38.2172143055859,3.70980791076841,2.93208292100594,0.0166438207270359,0.0118231578116189,0.004820662915417,0.598116026174911,3.32213512504666,0.330686439843079,0.0987268437453873,2155.4506,2.9962559
184,4.40238095238095,0.4536,0.265036513409962,0.718636513409962,69.7550140390555,3.6501062659319,2.36619631184957,0.0228281662276283,0.0165568820222671,0.0062712842053612,0.609633217691856,2.81075668716922,0.373573510035609,0.0809664393922873,2564.5597,2.1608812
185,4.40238095238095,0.3165,0.144816213494461,0.461316213494461,32.2286635308482,3.6667358188331,2.83786287807866,0.0157149044308052,0.0116052188666068,0.00410968556419845,0.590762340430803,2.81075668716922,0.325424678724576,0.0981132843898044,2564.5597,2.1608812
186,4.40238095238095,0.2919,0.179075055537925,0.470975055537924,37.8312195114422,3.79682253304072,2.20046182478968,0.0150234032087788,0.0110829249739459,0.00394047823483295,0.60679154079664,2.81075668716922,0.37106852890339,0.0788385697530907,2564.5597,2.1608812
187,4.15,0.2328,0.105052319423851,0.337852319423851,32.7451225834481,3.5173549175083,2.51484067276062,0.0108303007045087,0.00818840224795932,0.00264189845654941,0.549553907755106,2.7240625525475,0.32540750055664,0.0708993934018025,2621.7373,1.863856
188,4.15,0.2803,0.134452792654935,0.414752792654935,39.6909658760846,3.6946325148909,2.9990060300094,0.0143883022984767,0.0103560549392392,0.00403224735923753,0.588070464356438,2.7240625525475,0.267495630710327,0.105215872096762,2621.7373,1.863856
189,4.15,0.3756,0.128712043058982,0.504312043058982,46.4962034409113,3.66942526563542,2.66697768115648,0.0172150827590702,0.0137823612977266,0.00343272146134356,0.601404142517047,2.7240625525475,0.26081835954695,0.126326391512539,2621.7373,1.863856
190,5.52142857142857,0.4096,0.18443605248146,0.59403605248146,67.58,3.51099076680491,2.77120319970602,0.0194921159686106,0.0143810181808329,0.0051110977877777,0.580445558104176,2.35928143712574,0.300153990199105,0.105761081027783,3090.0359,2.0794645
191,5.52142857142857,0.3407,0.224645408774874,0.565345408774874,62.95,3.50983298138316,2.34950742022686,0.0172360615159371,0.0119580009675724,0.00527806054836463,0.56966491676707,2.35928143712574,0.417081591518665,0.071423967804688,3090.0359,2.0794645
192,5.52142857142857,0.3626,0.157752944044862,0.520352944044862,36.47,3.58524658351277,2.4843084334359,0.0169191738047172,0.0130001041118173,0.00391906969289991,0.585541418551464,2.35928143712574,0.303105635377117,0.0997986583577629,3090.0359,2.0794645
